epoch,train_loss,val_loss,time_seconds,learning_rate,iteration
1,0.17602420337498187,0.15856217990318935,122,0.0001,240
2,0.14699914641678333,0.16237729787826538,125,0.0001,480
3,0.12944804639555513,0.21184322262803715,120,0.0001,720
4,0.11972897169180215,0.16224563618501028,121,0.0001,960
5,0.1141274473319451,0.1523760495086511,121,0.0001,1200
6,0.1092450555258741,0.15834979812304179,120,0.0001,1440
7,0.10564096771801511,0.23895017455021542,122,0.0001,1680
8,0.09976568369505306,0.18106360460321108,122,0.0001,1920
9,0.0982050640353312,0.1455122660845518,120,0.0001,2160
10,0.09328018528564523,0.14330982007086276,120,0.0001,2400
11,0.09040598450228572,0.14967451492945352,121,0.0001,2640
12,0.08737261039204895,0.18619231432676314,120,0.0001,2880
13,0.08327916193132599,0.1516688395291567,123,0.0001,3120
14,0.08227217057719827,0.13633274796108405,122,0.0001,3360
15,0.07963960464888563,0.12118363653620084,120,0.0001,3600
16,0.07843001362246772,0.129077560082078,120,0.0001,3840
17,0.074530138176245,0.12591272766391437,121,0.0001,4080
18,0.0741374607818822,0.11437753054002921,124,0.0001,4320
19,0.07185157102067023,0.12621873045961063,120,0.0001,4560
20,0.069524299306795,0.11235630338390669,122,0.0001,4800
21,0.06767537211223194,0.12261472928027312,120,0.0001,5040
22,0.06802471006910006,0.1764996498823166,120,0.0001,5280
23,0.06628917530955127,0.1359967050453027,127,0.0001,5520
24,0.06449377643099675,0.13222888931632043,122,0.0001,5760
25,0.06436296233441681,0.23485175644358,120,0.0001,6000
26,0.06271777839865536,0.11164778458575407,122,0.0001,6240
27,0.06250215712934733,0.11928061991930008,120,0.0001,6480
28,0.060811503673903644,0.1364042842760682,120,0.0001,6720
29,0.05909267315485825,0.13506967021773258,122,0.0001,6960
30,0.058276629315999647,0.13322733653088412,120,0.0001,7200
31,0.05944267444623013,0.13153132187823455,127,0.0001,7440
32,0.057977591385133566,0.12016922074059645,120,0.0001,7680
33,0.05629283277473102,0.1257745632280906,120,0.0001,7920
34,0.05462250588461757,0.1096783290306727,124,0.0001,8160
35,0.054308052306684354,0.12625319324433804,120,0.0001,8400
36,0.053312247572466734,0.13442404493689536,122,0.0001,8640
37,0.054013720247894526,0.1089519349237283,122,0.0001,8880
38,0.05279969392965237,0.10988597472508749,120,0.0001,9120
39,0.05150428505148739,0.11007101777940989,123,0.0001,9360
40,0.05138095561414957,0.14201566129922866,120,0.0001,9600
41,0.05161569397120426,0.11395565358301003,122,0.0001,9840
42,0.051561054005287585,0.11126767558356127,120,0.0001,10080
43,0.0498261521027113,0.11162632840375106,120,0.0001,10320
44,0.04846749877712379,0.10760105270892381,121,0.0001,10560
45,0.048669952192964654,0.11252560702462991,124,0.0001,10800
46,0.0478785323134313,0.11054869213451941,120,0.0001,11040
47,0.04888846577766041,0.12561097592115403,123,0.0001,11280
48,0.04686273170324663,0.12015353304644426,120,0.0001,11520
49,0.046981610101647676,0.10690930237372716,120,0.0001,11760
50,0.047201718739233914,0.1069754106303056,122,0.0001,12000
51,0.04706036931990335,0.10817480149368446,120,0.0001,12240
52,0.04491888177581131,0.11161072365939617,120,0.0001,12480
53,0.046546963749763866,0.11493684351444244,120,0.0001,12720
54,0.044280930003151295,0.10478379391133785,120,0.0001,12960
55,0.044390766966777545,0.10805048868060112,120,0.0001,13200
56,0.04431199169872949,0.10186920004586379,120,0.0001,13440
