Job started at: Sun Feb  1 07:03:32 PM CST 2026
Running on host: nova22-amp-8
Job ID: 9687185
GPUs on node: 1
CUDA_VISIBLE_DEVICES: 0
======================================================================
ResUNet Training - Fringe Projection Profilometry
======================================================================
Device: cuda
Dataset type: _individual_normalized
Loss function: hybrid_l1
Alpha: 0.9
Batch size: 4
Learning rate: 0.0001
Dropout rate: 0.0
======================================================================

✓ Loaded 240 sample pairs from /work/arpawar/anushlak/SPIE-PW/training_data_depth_individual_normalized/train/fringe
  Dataset type: _individual_normalized
✓ Loaded 30 sample pairs from /work/arpawar/anushlak/SPIE-PW/training_data_depth_individual_normalized/val/fringe
  Dataset type: _individual_normalized
Initializing ResUNet model...
Model parameters: 88,941,841

Created CSV log: logs/training_log.csv

Starting training...

Epoch [  1/600] (103.0s) | Train: 0.573870 | Val: 0.265251 | LR: 1.00e-04 | Iter: 60 ← NEW BEST!
Epoch [  2/600] (102.6s) | Train: 0.220971 | Val: 0.238508 | LR: 1.00e-04 | Iter: 120 ← NEW BEST!
Epoch [  3/600] (102.7s) | Train: 0.217020 | Val: 0.208681 | LR: 1.00e-04 | Iter: 180 ← NEW BEST!
Epoch [  4/600] (102.7s) | Train: 0.208041 | Val: 0.197278 | LR: 1.00e-04 | Iter: 240 ← NEW BEST!
Epoch [  5/600] (102.6s) | Train: 0.203018 | Val: 0.195925 | LR: 1.00e-04 | Iter: 300 ← NEW BEST!
Epoch [  6/600] (102.7s) | Train: 0.199057 | Val: 0.195968 | LR: 1.00e-04 | Iter: 360
Epoch [  7/600] (102.6s) | Train: 0.193861 | Val: 0.194052 | LR: 1.00e-04 | Iter: 420 ← NEW BEST!
Epoch [  8/600] (102.6s) | Train: 0.189557 | Val: 0.191015 | LR: 1.00e-04 | Iter: 480 ← NEW BEST!
Epoch [  9/600] (103.1s) | Train: 0.181932 | Val: 0.192465 | LR: 1.00e-04 | Iter: 540
Epoch [ 10/600] (102.7s) | Train: 0.179014 | Val: 0.200885 | LR: 1.00e-04 | Iter: 600
Epoch [ 11/600] (102.6s) | Train: 0.173834 | Val: 0.229171 | LR: 1.00e-04 | Iter: 660
Epoch [ 12/600] (107.6s) | Train: 0.177473 | Val: 0.194524 | LR: 1.00e-04 | Iter: 720
Epoch [ 13/600] (102.6s) | Train: 0.168903 | Val: 0.184173 | LR: 1.00e-04 | Iter: 780 ← NEW BEST!
Epoch [ 14/600] (102.5s) | Train: 0.160922 | Val: 0.189749 | LR: 1.00e-04 | Iter: 840
